Date,Open,High,Low,Close,Adj Close,Volume
12-12-2022,115.180000,115.720001,113.139999,114.709999,114.709999,24747100
13-12-2022,122.129997,123.300003,118.639999,120.150002,120.150002,44701100
14-12-2022,119.389999,124.139999,119.389999,121.589996,121.589996,36922000
15-12-2022,118.330002,118.629997,114.010002,116.150002,116.150002,34531000
16-12-2022,120.230003,123.309998,118.820000,119.430000,119.430000,67064000
19-12-2022,116.830002,117.800003,114.330002,114.480003,114.480003,29769900
20-12-2022,113.260002,117.330002,112.459999,117.089996,117.089996,28742500
21-12-2022,116.699997,120.339996,115.620003,119.760002,119.760002,20392800
22-12-2022,117.199997,118.620003,114.379997,117.120003,117.120003,23618100
23-12-2022,116.029999,118.180000,115.540001,118.040001,118.040001,17796600
27-12-2022,117.930000,118.599998,116.050003,116.879997,116.879997,21392300
28-12-2022,116.250000,118.150002,115.510002,115.620003,115.620003,19612500
29-12-2022,116.400002,121.029999,115.769997,120.260002,120.260002,22366200
30-12-2022,118.160004,120.419998,117.739998,120.339996,120.339996,19583800
03-01-2023,122.820000,126.370003,122.279999,124.739998,124.739998,35528500
04-01-2023,127.379997,129.050003,125.849998,127.370003,127.370003,32397100
05-01-2023,126.129997,128.520004,124.540001,126.940002,126.940002,25447100
06-01-2023,128.970001,130.330002,126.040001,130.020004,130.020004,27584500
09-01-2023,131.160004,132.949997,129.279999,129.470001,129.470001,26649100
10-01-2023,127.269997,133.440002,127.150002,132.990005,132.990005,28684400
11-01-2023,130.960007,133.850006,130.339996,132.889999,132.889999,25423000
12-01-2023,133.440002,137.679993,131.759995,136.710007,136.710007,30757700
13-01-2023,134.970001,137.389999,134.839996,136.979996,136.979996,22423800
17-01-2023,136.179993,136.750000,134.250000,135.360001,135.360001,21147600
18-01-2023,135.809998,137.250000,132.800003,133.020004,133.020004,20215500
19-01-2023,132.490005,137.449997,132.139999,136.149994,136.149994,28625200
20-01-2023,135.889999,139.940002,134.610001,139.369995,139.369995,28688600
23-01-2023,139.289993,143.759995,138.660004,143.270004,143.270004,27470100
24-01-2023,141.690002,145.000000,141.360001,143.139999,143.139999,21970200
25-01-2023,141.220001,143.169998,140.309998,141.500000,141.500000,26622000
26-01-2023,144.399994,147.509995,143.300003,147.300003,147.300003,25482100
27-01-2023,148.240005,153.190002,147.389999,151.740005,151.740005,35771900
30-01-2023,149.410004,151.119995,146.949997,147.059998,147.059998,28040100
31-01-2023,147.949997,149.880005,147.520004,148.970001,148.970001,29842100
01-02-2023,148.029999,153.580002,147.059998,153.119995,153.119995,55661000
02-02-2023,183.380005,197.160004,180.160004,188.770004,188.770004,150475700
03-02-2023,183.470001,196.770004,182.889999,186.529999,186.529999,76809700
06-02-2023,186.529999,190.699997,185.520004,186.059998,186.059998,42483800
07-02-2023,185.580002,193.779999,184.399994,191.619995,191.619995,47080700
08-02-2023,190.000000,190.830002,182.919998,183.429993,183.429993,36139100
09-02-2023,186.130005,186.649994,177.270004,177.919998,177.919998,37118800
10-02-2023,176.350006,178.889999,173.350006,174.149994,174.149994,33433600
13-02-2023,178.220001,181.000000,175.820007,179.429993,179.429993,31463200
14-02-2023,177.160004,181.509995,175.880005,179.479996,179.479996,24034600
15-02-2023,176.419998,178.190002,175.330002,177.160004,177.160004,25308900
16-02-2023,172.750000,175.850006,171.789993,172.440002,172.440002,25827500
17-02-2023,170.220001,173.179993,169.699997,172.880005,172.880005,24171300
21-02-2023,174.309998,178.169998,171.880005,172.080002,172.080002,34592600
22-02-2023,171.070007,172.759995,169.690002,171.119995,171.119995,22433200
23-02-2023,172.000000,173.690002,169.380005,172.039993,172.039993,20017800
24-02-2023,168.639999,170.720001,167.660004,170.389999,170.389999,19791300
27-02-2023,171.880005,173.119995,169.059998,169.539993,169.539993,19277000
28-02-2023,171.899994,177.550003,171.869995,174.940002,174.940002,46051100
01-03-2023,174.589996,177.850006,173.050003,173.419998,173.419998,30998400
02-03-2023,172.380005,175.009995,171.429993,174.529999,174.529999,17352000
03-03-2023,178.919998,186.619995,177.050003,185.250000,185.250000,45877700
06-03-2023,188.000000,189.660004,184.639999,184.899994,184.899994,33209400
07-03-2023,189.000000,190.360001,184.009995,184.509995,184.509995,36701500
08-03-2023,182.869995,185.259995,181.339996,184.970001,184.970001,19432400
09-03-2023,186.350006,188.929993,180.300003,181.690002,181.690002,26582800
10-03-2023,181.009995,184.770004,178.800003,179.509995,179.509995,25665000
13-03-2023,177.960007,183.779999,174.820007,180.899994,180.899994,24728000
14-03-2023,187.580002,194.320007,186.559998,194.020004,194.020004,41642600
15-03-2023,192.949997,197.779999,190.839996,197.750000,197.750000,42123600
16-03-2023,198.259995,205.759995,196.089996,204.929993,204.929993,50447100
17-03-2023,200.559998,201.899994,195.429993,195.610001,195.610001,50141100
20-03-2023,198.479996,199.360001,193.639999,197.809998,197.809998,25186300
21-03-2023,203.199997,203.550003,197.949997,202.160004,202.160004,31827000
22-03-2023,202.500000,207.369995,199.669998,199.809998,199.809998,28477800
23-03-2023,202.839996,207.880005,202.149994,204.279999,204.279999,27389700
24-03-2023,205.179993,207.580002,203.550003,206.009995,206.009995,27716400
27-03-2023,204.809998,205.860001,201.360001,202.839996,202.839996,18527200
28-03-2023,200.149994,201.029999,197.899994,200.679993,200.679993,19127300
29-03-2023,203.559998,205.720001,202.539993,205.350006,205.350006,18851100
30-03-2023,203.380005,208.089996,202.820007,207.839996,207.839996,22608300
31-03-2023,207.240005,212.169998,206.770004,211.940002,211.940002,25440300
03-04-2023,208.839996,213.490005,208.199997,213.070007,213.070007,17924600
04-04-2023,213.389999,216.240005,212.539993,214.720001,214.720001,21026400
05-04-2023,214.149994,215.190002,209.940002,211.479996,211.479996,19396600
06-04-2023,209.250000,216.940002,208.649994,216.100006,216.100006,26104400
10-04-2023,214.710007,215.660004,210.660004,214.750000,214.750000,16106100
11-04-2023,215.479996,216.020004,213.410004,213.850006,213.850006,16710100
12-04-2023,214.839996,216.839996,212.580002,214.000000,214.000000,18972200
13-04-2023,215.729996,221.149994,215.690002,220.350006,220.350006,23310400
14-04-2023,217.880005,222.110001,217.550003,221.490005,221.490005,21591200
17-04-2023,219.789993,220.979996,217.130005,218.860001,218.860001,15481900
18-04-2023,219.910004,220.440002,216.210007,217.889999,217.889999,12281000
19-04-2023,213.470001,217.330002,212.929993,215.699997,215.699997,15898100
20-04-2023,213.479996,216.750000,212.770004,213.070007,213.070007,16475400
21-04-2023,210.210007,213.410004,209.580002,212.889999,212.889999,17717200
24-04-2023,213.679993,213.919998,210.710007,212.789993,212.789993,15750900
25-04-2023,210.820007,211.259995,207.130005,207.550003,207.550003,19198200
26-04-2023,212.500000,214.110001,208.880005,209.399994,209.399994,41992700
27-04-2023,239.889999,241.690002,236.770004,238.559998,238.559998,71196500
28-04-2023,239.009995,240.429993,235.750000,240.320007,240.320007,39554000
01-05-2023,238.619995,244.000000,236.460007,243.179993,243.179993,29143900
02-05-2023,243.179993,244.919998,238.990005,239.240005,239.240005,24350100
03-05-2023,239.470001,241.750000,232.750000,237.029999,237.029999,34463900
04-05-2023,236.059998,238.199997,232.929993,233.520004,233.520004,17889400
05-05-2023,232.240005,234.679993,229.850006,232.779999,232.779999,26978900
08-05-2023,231.419998,235.619995,230.270004,233.270004,233.270004,16400500
09-05-2023,231.460007,235.880005,231.080002,233.369995,233.369995,16865600
10-05-2023,236.169998,236.750000,230.720001,233.080002,233.080002,19119000
11-05-2023,233.050003,238.210007,232.300003,235.789993,235.789993,20449000
12-05-2023,236.740005,236.960007,231.449997,233.809998,233.809998,16155300
15-05-2023,236.919998,240.259995,235.330002,238.860001,238.860001,20653200
16-05-2023,235.789993,239.639999,235.520004,238.820007,238.820007,18163800
17-05-2023,238.449997,243.839996,238.139999,242.490005,242.490005,21193100
18-05-2023,241.300003,247.089996,241.190002,246.850006,246.850006,22943300
19-05-2023,247.470001,248.690002,243.410004,245.639999,245.639999,21599800
22-05-2023,245.410004,253.570007,245.119995,248.320007,248.320007,27738500
23-05-2023,246.809998,251.610001,246.649994,246.740005,246.740005,17748100
24-05-2023,245.279999,249.589996,244.949997,249.210007,249.210007,17724300
25-05-2023,253.399994,255.619995,249.169998,252.690002,252.690002,22371400
26-05-2023,252.929993,262.309998,252.710007,262.040009,262.040009,25727200
30-05-2023,265.250000,268.649994,261.290009,262.519989,262.519989,23816500
31-05-2023,260.000000,265.000000,258.450012,264.720001,264.720001,25473700
01-06-2023,265.899994,274.000000,265.890015,272.609985,272.609985,25609500
02-06-2023,272.660004,275.350006,271.119995,272.609985,272.609985,19405300
05-06-2023,270.299988,275.570007,269.559998,271.390015,271.390015,20742900
06-06-2023,270.140015,276.570007,269.690002,271.119995,271.119995,19419000
07-06-2023,271.670013,274.250000,262.799988,263.600006,263.600006,26163600
08-06-2023,260.619995,267.649994,258.880005,264.579987,264.579987,20899400
09-06-2023,262.480011,267.950012,261.700012,264.950012,264.950012,16938500
12-06-2023,267.170013,271.750000,265.329987,271.049988,271.049988,15442500
13-06-2023,274.880005,275.720001,269.089996,271.320007,271.320007,16164000
14-06-2023,271.890015,274.989990,268.320007,273.350006,273.350006,19175100
15-06-2023,272.299988,283.989990,271.420013,281.829987,281.829987,25973500
16-06-2023,284.750000,287.850006,280.130005,281.000000,281.000000,43102500
20-06-2023,278.730011,284.799988,276.220001,284.329987,284.329987,20701600
21-06-2023,283.529999,284.000000,278.359985,281.640015,281.640015,20556200
22-06-2023,279.079987,285.260010,277.790009,284.880005,284.880005,17563100
23-06-2023,281.510010,289.670013,278.950012,288.730011,288.730011,50988400
26-06-2023,288.700012,289.790009,277.600006,278.470001,278.470001,24232700
27-06-2023,282.010010,289.350006,280.649994,287.049988,287.049988,26108300
